Ticks: 00000732	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c0 Register BC: 0110 Register DE: c017 Register HL: 4018	Flags: ---C
Ticks: 00000740	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c0 Register BC: 0110 Register DE: c018 Register HL: 4018	Flags: ---C
Ticks: 00000752	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c0 Register BC: 0110 Register DE: c018 Register HL: 4019	Flags: ---C
Ticks: 00000756	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: f1 Register BC: 0110 Register DE: c018 Register HL: 4019	Flags: ---C
Ticks: 00000760	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: f1 Register BC: 0110 Register DE: c018 Register HL: 4019	Flags: ---C
Ticks: 00000768	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: f1 Register BC: 0110 Register DE: c019 Register HL: 4019	Flags: ---C
Ticks: 00000780	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: f1 Register BC: 0110 Register DE: c019 Register HL: 401a	Flags: ---C
Ticks: 00000784	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 3d Register BC: 0110 Register DE: c019 Register HL: 401a	Flags: ---C
Ticks: 00000788	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 3d Register BC: 0110 Register DE: c019 Register HL: 401a	Flags: ---C
Ticks: 00000796	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 3d Register BC: 0110 Register DE: c01a Register HL: 401a	Flags: ---C
Ticks: 00000808	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 3d Register BC: 0110 Register DE: c01a Register HL: 401b	Flags: ---C
Ticks: 00000812	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 20 Register BC: 0110 Register DE: c01a Register HL: 401b	Flags: ---C
Ticks: 00000816	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 20 Register BC: 0110 Register DE: c01a Register HL: 401b	Flags: ---C
Ticks: 00000824	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 20 Register BC: 0110 Register DE: c01b Register HL: 401b	Flags: ---C
Ticks: 00000836	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 20 Register BC: 0110 Register DE: c01b Register HL: 401c	Flags: ---C
Ticks: 00000840	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: f6 Register BC: 0110 Register DE: c01b Register HL: 401c	Flags: ---C
Ticks: 00000844	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: f6 Register BC: 0110 Register DE: c01b Register HL: 401c	Flags: ---C
Ticks: 00000852	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: f6 Register BC: 0110 Register DE: c01c Register HL: 401c	Flags: ---C
Ticks: 00000864	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: f6 Register BC: 0110 Register DE: c01c Register HL: 401d	Flags: ---C
Ticks: 00000868	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c9 Register BC: 0110 Register DE: c01c Register HL: 401d	Flags: ---C
Ticks: 00000872	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c9 Register BC: 0110 Register DE: c01c Register HL: 401d	Flags: ---C
Ticks: 00000880	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c9 Register BC: 0110 Register DE: c01d Register HL: 401d	Flags: ---C
Ticks: 00000892	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c9 Register BC: 0110 Register DE: c01d Register HL: 401e	Flags: ---C
Ticks: 00000896	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: b7 Register BC: 0110 Register DE: c01d Register HL: 401e	Flags: ---C
Ticks: 00000900	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: b7 Register BC: 0110 Register DE: c01d Register HL: 401e	Flags: ---C
Ticks: 00000908	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: b7 Register BC: 0110 Register DE: c01e Register HL: 401e	Flags: ---C
Ticks: 00000920	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: b7 Register BC: 0110 Register DE: c01e Register HL: 401f	Flags: ---C
Ticks: 00000924	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: c8 Register BC: 0110 Register DE: c01e Register HL: 401f	Flags: ---C
Ticks: 00000928	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: c8 Register BC: 0110 Register DE: c01e Register HL: 401f	Flags: ---C
Ticks: 00000936	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: c8 Register BC: 0110 Register DE: c01f Register HL: 401f	Flags: ---C
Ticks: 00000948	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: c8 Register BC: 0110 Register DE: c01f Register HL: 4020	Flags: ---C
Ticks: 00000952	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: f5 Register BC: 0110 Register DE: c01f Register HL: 4020	Flags: ---C
Ticks: 00000956	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: f5 Register BC: 0110 Register DE: c01f Register HL: 4020	Flags: ---C
Ticks: 00000964	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: f5 Register BC: 0110 Register DE: c020 Register HL: 4020	Flags: --HC
Ticks: 00000976	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: f5 Register BC: 0110 Register DE: c020 Register HL: 4021	Flags: --HC
Ticks: 00000980	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: 3e Register BC: 0110 Register DE: c020 Register HL: 4021	Flags: --HC
Ticks: 00000984	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: 3e Register BC: 0110 Register DE: c020 Register HL: 4021	Flags: --HC
Ticks: 00000992	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: 3e Register BC: 0110 Register DE: c021 Register HL: 4021	Flags: ---C
Ticks: 00001004	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: 3e Register BC: 0110 Register DE: c021 Register HL: 4022	Flags: ---C
Ticks: 00001008	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: ff Register BC: 0110 Register DE: c021 Register HL: 4022	Flags: ---C
Ticks: 00001012	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: ff Register BC: 0110 Register DE: c021 Register HL: 4022	Flags: ---C
Ticks: 00001020	PC: 0209	JR	Executing instruction: 20	Next two opcodes: (fb, 14).	Register A: ff Register BC: 0110 Register DE: c022 Register HL: 4022	Flags: ---C
Ticks: 00001032	PC: 0206	LD	Executing instruction: 2a	Next two opcodes: (12, 1c).	Register A: ff Register BC: 0110 Register DE: c022 Register HL: 4023	Flags: ---C
Ticks: 00001036	PC: 0207	LD	Executing instruction: 12	Next two opcodes: (1c, 20).	Register A: cd Register BC: 0110 Register DE: c022 Register HL: 4023	Flags: ---C
Ticks: 00001040	PC: 0208	INC	Executing instruction: 1c	Next two opcodes: (20, fb).	Register A: cd Register BC: 0110 Register DE: c022 Register HL: 4023	Flags: ---C
